Gender,Age,Average Session Time,Most Active Seasons,User ID
male,46,2078,"['Holidays', 'Winter', 'Fall']",51
male,80,1064,"['Fall', 'Holidays', 'Spring']",52
female,34,385,"['Fall', 'Winter', 'Holidays']",53
female,23,1154,"['Summer', 'Fall', 'Holidays']",54
male,19,2108,"['Fall', 'Holidays', 'Winter']",55
female,18,2900,"['Spring', 'Holidays', 'Summer']",56
female,18,2259,"['Summer', 'Spring', 'Holidays']",57
female,78,2866,"['Spring', 'Fall', 'Summer']",58
female,20,802,"['Summer', 'Winter', 'Spring']",59
male,55,2871,"['Winter', 'Holidays', 'Summer']",60
male,50,3221,"['Summer', 'Winter', 'Fall']",61
male,52,1118,"['Summer', 'Holidays', 'Fall']",62
female,59,2690,"['Winter', 'Spring', 'Holidays']",63
female,57,1016,"['Holidays', 'Spring', 'Summer']",64
female,67,853,"['Summer', 'Holidays', 'Spring']",65
male,34,1503,"['Holidays', 'Fall', 'Summer']",66
female,37,190,"['Summer', 'Spring', 'Fall']",67
male,55,628,"['Fall', 'Summer', 'Spring']",68
male,51,1881,"['Holidays', 'Summer', 'Fall']",69
male,40,2826,"['Summer', 'Holidays', 'Winter']",70
male,40,1616,"['Fall', 'Spring', 'Summer']",71
male,52,3513,"['Winter', 'Holidays', 'Fall']",72
male,66,3520,"['Spring', 'Holidays', 'Winter']",73
female,29,2142,"['Summer', 'Spring', 'Holidays']",74
female,66,142,"['Spring', 'Winter', 'Fall']",75
female,68,384,"['Summer', 'Fall', 'Holidays']",76
female,43,2663,"['Winter', 'Fall', 'Holidays']",77
female,19,2742,"['Fall', 'Summer', 'Holidays']",78
male,74,3114,"['Fall', 'Summer', 'Holidays']",79
female,52,1682,"['Winter', 'Holidays', 'Fall']",80
female,39,2981,"['Fall', 'Spring', 'Holidays']",81
male,72,1978,"['Summer', 'Spring', 'Winter']",82
female,21,1083,"['Winter', 'Fall', 'Spring']",83
female,28,779,"['Holidays', 'Spring', 'Fall']",84
female,18,1414,"['Winter', 'Fall', 'Spring']",85
male,80,2508,"['Spring', 'Fall', 'Summer']",86
female,62,1439,"['Spring', 'Fall', 'Winter']",87
female,77,3202,"['Summer', 'Fall', 'Holidays']",88
male,76,1928,"['Holidays', 'Fall', 'Summer']",89
female,78,2448,"['Fall', 'Spring', 'Summer']",90
female,48,1941,"['Winter', 'Spring', 'Fall']",91
female,75,2855,"['Winter', 'Summer', 'Spring']",92
female,80,3117,"['Winter', 'Summer', 'Fall']",93
female,77,373,"['Spring', 'Fall', 'Holidays']",94
female,31,86,"['Winter', 'Spring', 'Summer']",95
male,75,1131,"['Holidays', 'Summer', 'Fall']",96
male,77,3491,"['Holidays', 'Fall', 'Winter']",97
male,27,669,"['Summer', 'Winter', 'Spring']",98
female,19,3206,"['Holidays', 'Fall', 'Winter']",99
male,35,300,"['Summer', 'Winter', 'Holidays']",100
male,57,1692,"['Winter', 'Fall', 'Holidays']",101
female,48,402,"['Winter', 'Holidays', 'Spring']",102
male,24,993,"['Summer', 'Spring', 'Fall']",103
female,59,2762,"['Holidays', 'Winter', 'Fall']",104
male,75,376,"['Holidays', 'Fall', 'Winter']",105
male,31,2883,"['Winter', 'Spring', 'Holidays']",106
female,78,1247,"['Fall', 'Summer', 'Holidays']",107
female,26,3519,"['Spring', 'Holidays', 'Summer']",108
female,52,542,"['Winter', 'Holidays', 'Fall']",109
male,56,937,"['Holidays', 'Spring', 'Summer']",110
female,37,1996,"['Winter', 'Summer', 'Fall']",111
female,31,682,"['Winter', 'Fall', 'Summer']",112
male,47,3589,"['Winter', 'Spring', 'Summer']",113
female,33,2297,"['Summer', 'Spring', 'Fall']",114
male,47,1194,"['Winter', 'Spring', 'Holidays']",115
female,75,2628,"['Holidays', 'Spring', 'Fall']",116
male,29,2705,"['Winter', 'Fall', 'Spring']",117
female,48,3374,"['Winter', 'Fall', 'Summer']",118
male,46,245,"['Summer', 'Fall', 'Spring']",119
male,27,138,"['Fall', 'Holidays', 'Spring']",120
female,40,1161,"['Holidays', 'Summer', 'Fall']",121
male,75,1794,"['Fall', 'Winter', 'Summer']",122
male,28,1659,"['Summer', 'Spring', 'Fall']",123
female,43,964,"['Winter', 'Holidays', 'Fall']",124
male,66,100,"['Fall', 'Spring', 'Holidays']",125
male,48,3182,"['Summer', 'Holidays', 'Fall']",126
male,75,716,"['Spring', 'Winter', 'Holidays']",127
female,45,915,"['Winter', 'Fall', 'Summer']",128
female,46,972,"['Summer', 'Spring', 'Holidays']",129
female,42,855,"['Summer', 'Holidays', 'Spring']",130
female,65,2069,"['Fall', 'Holidays', 'Summer']",131
female,40,3496,"['Spring', 'Summer', 'Holidays']",132
male,50,1082,"['Summer', 'Holidays', 'Winter']",133
male,36,332,"['Winter', 'Fall', 'Spring']",134
female,46,2037,"['Holidays', 'Spring', 'Summer']",135
male,39,1190,"['Summer', 'Holidays', 'Spring']",136
female,44,1798,"['Summer', 'Winter', 'Holidays']",137
female,33,3278,"['Holidays', 'Winter', 'Summer']",138
male,50,301,"['Winter', 'Summer', 'Fall']",139
male,23,3504,"['Spring', 'Fall', 'Winter']",140
female,65,1437,"['Holidays', 'Spring', 'Fall']",141
female,80,67,"['Fall', 'Holidays', 'Summer']",142
male,78,1063,"['Winter', 'Holidays', 'Fall']",143
female,68,2455,"['Spring', 'Holidays', 'Summer']",144
male,47,2950,"['Spring', 'Holidays', 'Fall']",145
male,53,2070,"['Winter', 'Spring', 'Holidays']",146
female,52,2145,"['Holidays', 'Winter', 'Summer']",147
male,72,3065,"['Summer', 'Holidays', 'Fall']",148
male,29,1693,"['Spring', 'Fall', 'Winter']",149
female,79,2075,"['Holidays', 'Summer', 'Spring']",150
female,57,2256,"['Fall', 'Winter', 'Summer']",151
male,38,2959,"['Holidays', 'Fall', 'Summer']",152
female,38,3024,"['Spring', 'Fall', 'Winter']",153
male,68,3375,"['Winter', 'Fall', 'Holidays']",154
male,31,214,"['Holidays', 'Winter', 'Spring']",155
female,55,420,"['Fall', 'Summer', 'Winter']",156
female,78,1546,"['Summer', 'Fall', 'Winter']",157
male,61,278,"['Winter', 'Spring', 'Holidays']",158
male,50,222,"['Holidays', 'Summer', 'Spring']",159
female,42,1992,"['Fall', 'Winter', 'Spring']",160
female,39,2764,"['Summer', 'Spring', 'Holidays']",161
female,76,627,"['Summer', 'Fall', 'Holidays']",162
female,78,2729,"['Fall', 'Winter', 'Spring']",163
female,57,1838,"['Summer', 'Fall', 'Holidays']",164
male,75,2045,"['Fall', 'Holidays', 'Spring']",165
male,69,2944,"['Winter', 'Spring', 'Fall']",166
male,48,1244,"['Winter', 'Summer', 'Spring']",167
male,59,2466,"['Spring', 'Holidays', 'Fall']",168
female,62,2527,"['Winter', 'Spring', 'Summer']",169
female,29,3225,"['Fall', 'Summer', 'Winter']",170
male,53,2816,"['Summer', 'Fall', 'Spring']",171
male,48,2748,"['Holidays', 'Spring', 'Fall']",172
male,38,2705,"['Winter', 'Summer', 'Holidays']",173
female,63,3001,"['Summer', 'Winter', 'Fall']",174
female,45,2745,"['Holidays', 'Winter', 'Summer']",175
male,37,79,"['Winter', 'Summer', 'Fall']",176
female,78,983,"['Fall', 'Holidays', 'Winter']",177
female,24,1864,"['Spring', 'Winter', 'Holidays']",178
male,48,3243,"['Winter', 'Fall', 'Summer']",179
male,79,2254,"['Summer', 'Spring', 'Holidays']",180
female,67,678,"['Holidays', 'Winter', 'Summer']",181
female,43,154,"['Holidays', 'Fall', 'Winter']",182
male,44,3464,"['Spring', 'Holidays', 'Summer']",183
male,67,1878,"['Fall', 'Summer', 'Holidays']",184
male,24,2726,"['Spring', 'Winter', 'Holidays']",185
female,41,1336,"['Winter', 'Spring', 'Summer']",186
male,80,1000,"['Winter', 'Summer', 'Holidays']",187
female,59,1677,"['Spring', 'Winter', 'Fall']",188
male,20,2935,"['Spring', 'Holidays', 'Summer']",189
male,72,1902,"['Summer', 'Winter', 'Holidays']",190
female,66,646,"['Spring', 'Summer', 'Winter']",191
male,33,2656,"['Holidays', 'Summer', 'Winter']",192
male,76,1464,"['Summer', 'Winter', 'Spring']",193
male,24,77,"['Spring', 'Holidays', 'Winter']",194
male,64,3252,"['Summer', 'Spring', 'Winter']",195
male,30,791,"['Holidays', 'Spring', 'Fall']",196
male,57,2991,"['Summer', 'Holidays', 'Spring']",197
female,33,3148,"['Fall', 'Holidays', 'Summer']",198
male,73,556,"['Holidays', 'Winter', 'Summer']",199
female,54,1892,"['Summer', 'Fall', 'Spring']",200
female,67,1829,"['Summer', 'Fall', 'Holidays']",201
male,28,2379,"['Fall', 'Winter', 'Spring']",202
male,36,2200,"['Holidays', 'Summer', 'Fall']",203
female,34,3409,"['Holidays', 'Fall', 'Summer']",204
female,52,451,"['Spring', 'Holidays', 'Summer']",205
female,25,1935,"['Winter', 'Holidays', 'Summer']",206
male,44,3260,"['Spring', 'Winter', 'Summer']",207
female,36,227,"['Holidays', 'Summer', 'Spring']",208
female,58,1081,"['Summer', 'Fall', 'Winter']",209
male,40,415,"['Holidays', 'Spring', 'Fall']",210
female,66,3474,"['Holidays', 'Winter', 'Spring']",211
female,43,2222,"['Spring', 'Summer', 'Fall']",212
male,33,1672,"['Winter', 'Holidays', 'Summer']",213
female,48,491,"['Fall', 'Spring', 'Holidays']",214
male,43,3088,"['Winter', 'Spring', 'Holidays']",215
female,59,3311,"['Fall', 'Spring', 'Winter']",216
male,42,2556,"['Summer', 'Holidays', 'Spring']",217
female,74,1097,"['Holidays', 'Spring', 'Winter']",218
female,60,3419,"['Winter', 'Summer', 'Spring']",219
male,29,1491,"['Fall', 'Spring', 'Winter']",220
female,68,3163,"['Winter', 'Spring', 'Holidays']",221
male,76,1418,"['Fall', 'Summer', 'Holidays']",222
female,29,2746,"['Winter', 'Fall', 'Summer']",223
male,38,1509,"['Summer', 'Holidays', 'Winter']",224
female,64,1844,"['Fall', 'Holidays', 'Summer']",225
female,27,3086,"['Summer', 'Holidays', 'Winter']",226
female,47,1350,"['Winter', 'Spring', 'Fall']",227
male,22,3456,"['Holidays', 'Spring', 'Fall']",228
male,80,632,"['Fall', 'Spring', 'Summer']",229
male,59,3478,"['Spring', 'Holidays', 'Summer']",230
male,41,1401,"['Winter', 'Summer', 'Spring']",231
female,44,3397,"['Winter', 'Fall', 'Summer']",232
male,23,3462,"['Winter', 'Fall', 'Summer']",233
female,24,1085,"['Summer', 'Winter', 'Holidays']",234
male,62,1449,"['Holidays', 'Winter', 'Summer']",235
male,69,158,"['Spring', 'Fall', 'Summer']",236
male,58,2909,"['Holidays', 'Fall', 'Summer']",237
female,21,139,"['Holidays', 'Fall', 'Summer']",238
female,63,1040,"['Winter', 'Holidays', 'Summer']",239
female,75,1135,"['Holidays', 'Fall', 'Spring']",240
female,29,3097,"['Summer', 'Fall', 'Winter']",241
female,64,686,"['Holidays', 'Spring', 'Winter']",242
male,63,193,"['Winter', 'Summer', 'Fall']",243
male,73,2780,"['Summer', 'Holidays', 'Fall']",244
male,38,3021,"['Winter', 'Fall', 'Holidays']",245
male,75,1878,"['Winter', 'Holidays', 'Fall']",246
female,44,1543,"['Summer', 'Holidays', 'Winter']",247
female,21,2844,"['Spring', 'Fall', 'Winter']",248
female,26,66,"['Summer', 'Holidays', 'Spring']",249
male,51,1303,"['Fall', 'Holidays', 'Winter']",250
female,49,2467,"['Holidays', 'Fall', 'Winter']",251
male,39,2555,"['Summer', 'Spring', 'Fall']",252
male,70,1963,"['Summer', 'Holidays', 'Spring']",253
male,77,3585,"['Spring', 'Summer', 'Fall']",254
male,66,390,"['Winter', 'Spring', 'Fall']",255
female,62,389,"['Fall', 'Summer', 'Winter']",256
male,51,2448,"['Summer', 'Winter', 'Fall']",257
female,79,2986,"['Fall', 'Winter', 'Summer']",258
male,46,1178,"['Spring', 'Summer', 'Holidays']",259
female,76,1568,"['Summer', 'Winter', 'Fall']",260
male,47,2222,"['Fall', 'Holidays', 'Spring']",261
male,28,2092,"['Spring', 'Winter', 'Summer']",262
female,22,1385,"['Spring', 'Summer', 'Holidays']",263
male,58,1839,"['Winter', 'Spring', 'Summer']",264
female,52,1149,"['Fall', 'Holidays', 'Summer']",265
female,70,3253,"['Fall', 'Summer', 'Spring']",266
male,66,2444,"['Fall', 'Holidays', 'Summer']",267
male,39,1960,"['Holidays', 'Spring', 'Fall']",268
male,45,626,"['Spring', 'Holidays', 'Summer']",269
male,22,104,"['Fall', 'Spring', 'Winter']",270
male,42,3024,"['Spring', 'Holidays', 'Summer']",271
male,61,2133,"['Summer', 'Spring', 'Holidays']",272
female,61,989,"['Holidays', 'Summer', 'Fall']",273
male,64,3457,"['Summer', 'Winter', 'Spring']",274
female,56,171,"['Holidays', 'Spring', 'Summer']",275
male,40,1790,"['Holidays', 'Spring', 'Fall']",276
male,20,3230,"['Fall', 'Spring', 'Holidays']",277
female,41,3300,"['Spring', 'Summer', 'Fall']",278
male,25,2929,"['Fall', 'Summer', 'Holidays']",279
male,80,2115,"['Winter', 'Summer', 'Fall']",280
male,47,1409,"['Spring', 'Holidays', 'Winter']",281
female,64,2706,"['Summer', 'Winter', 'Holidays']",282
male,28,3025,"['Summer', 'Spring', 'Fall']",283
male,64,1790,"['Spring', 'Summer', 'Winter']",284
male,50,2479,"['Winter', 'Spring', 'Fall']",285
male,34,799,"['Summer', 'Spring', 'Fall']",286
female,60,1404,"['Holidays', 'Winter', 'Fall']",287
male,37,1752,"['Summer', 'Spring', 'Fall']",288
male,44,3542,"['Winter', 'Fall', 'Summer']",289
female,38,3116,"['Summer', 'Spring', 'Winter']",290
female,26,2348,"['Fall', 'Summer', 'Winter']",291
male,59,2140,"['Holidays', 'Spring', 'Fall']",292
female,72,497,"['Fall', 'Holidays', 'Summer']",293
female,54,2554,"['Winter', 'Fall', 'Summer']",294
male,57,2972,"['Spring', 'Winter', 'Summer']",295
male,57,2134,"['Summer', 'Spring', 'Winter']",296
male,53,1252,"['Spring', 'Winter', 'Holidays']",297
female,33,2175,"['Holidays', 'Winter', 'Summer']",298
female,28,2279,"['Spring', 'Fall', 'Winter']",299
male,58,3345,"['Holidays', 'Fall', 'Winter']",300
male,59,819,"['Winter', 'Holidays', 'Summer']",301
male,32,857,"['Winter', 'Fall', 'Summer']",302
female,42,1827,"['Winter', 'Summer', 'Fall']",303
male,76,2355,"['Spring', 'Fall', 'Summer']",304
male,45,3162,"['Holidays', 'Fall', 'Summer']",305
male,36,879,"['Holidays', 'Fall', 'Winter']",306
female,44,2828,"['Winter', 'Spring', 'Summer']",307
male,22,1261,"['Spring', 'Fall', 'Winter']",308
female,19,733,"['Holidays', 'Spring', 'Fall']",309
female,51,2704,"['Fall', 'Winter', 'Holidays']",310
female,58,2898,"['Winter', 'Summer', 'Spring']",311
male,61,924,"['Fall', 'Holidays', 'Winter']",312
male,65,1660,"['Summer', 'Fall', 'Holidays']",313
male,34,1166,"['Fall', 'Holidays', 'Summer']",314
female,21,1075,"['Holidays', 'Fall', 'Winter']",315
male,23,2910,"['Holidays', 'Winter', 'Fall']",316
female,58,149,"['Summer', 'Winter', 'Fall']",317
female,79,3453,"['Holidays', 'Summer', 'Fall']",318
male,32,648,"['Holidays', 'Fall', 'Summer']",319
male,45,1302,"['Spring', 'Fall', 'Winter']",320
female,47,2068,"['Winter', 'Holidays', 'Fall']",321
male,32,1950,"['Holidays', 'Winter', 'Fall']",322
female,74,1076,"['Spring', 'Holidays', 'Fall']",323
female,40,2828,"['Spring', 'Winter', 'Summer']",324
male,79,3358,"['Winter', 'Holidays', 'Spring']",325
female,23,987,"['Summer', 'Holidays', 'Fall']",326
female,77,3232,"['Spring', 'Holidays', 'Summer']",327
male,59,2027,"['Winter', 'Fall', 'Holidays']",328
male,28,2877,"['Summer', 'Spring', 'Winter']",329
male,21,911,"['Winter', 'Summer', 'Fall']",330
male,76,447,"['Holidays', 'Winter', 'Spring']",331
female,59,2397,"['Spring', 'Fall', 'Summer']",332
female,52,2129,"['Fall', 'Summer', 'Spring']",333
male,32,425,"['Fall', 'Holidays', 'Winter']",334
male,23,3122,"['Fall', 'Summer', 'Winter']",335
female,21,2143,"['Winter', 'Fall', 'Spring']",336
male,57,3464,"['Winter', 'Spring', 'Fall']",337
male,80,2222,"['Holidays', 'Fall', 'Summer']",338
male,66,3459,"['Holidays', 'Spring', 'Fall']",339
female,19,1524,"['Spring', 'Fall', 'Winter']",340
male,80,1887,"['Summer', 'Holidays', 'Winter']",341
male,28,69,"['Summer', 'Holidays', 'Winter']",342
female,20,1224,"['Spring', 'Fall', 'Summer']",343
female,75,1223,"['Winter', 'Summer', 'Spring']",344
female,26,3497,"['Summer', 'Holidays', 'Winter']",345
female,58,136,"['Spring', 'Holidays', 'Fall']",346
male,70,2466,"['Holidays', 'Winter', 'Fall']",347
male,51,517,"['Winter', 'Holidays', 'Spring']",348
female,47,324,"['Summer', 'Winter', 'Holidays']",349
female,35,2759,"['Winter', 'Spring', 'Holidays']",350
male,76,3244,"['Spring', 'Fall', 'Holidays']",351
male,79,117,"['Holidays', 'Fall', 'Summer']",352
male,51,573,"['Summer', 'Spring', 'Holidays']",353
female,48,2032,"['Fall', 'Holidays', 'Winter']",354
female,50,1859,"['Spring', 'Fall', 'Summer']",355
male,30,364,"['Winter', 'Spring', 'Fall']",356
male,75,2373,"['Fall', 'Spring', 'Summer']",357
male,58,2876,"['Holidays', 'Spring', 'Winter']",358
male,64,595,"['Holidays', 'Winter', 'Summer']",359
female,32,216,"['Summer', 'Winter', 'Holidays']",360
female,60,500,"['Fall', 'Spring', 'Holidays']",361
female,41,1770,"['Holidays', 'Fall', 'Spring']",362
female,58,1878,"['Winter', 'Spring', 'Summer']",363
male,31,3310,"['Holidays', 'Winter', 'Spring']",364
male,39,1953,"['Spring', 'Winter', 'Holidays']",365
male,29,78,"['Fall', 'Summer', 'Winter']",366
female,32,3195,"['Fall', 'Holidays', 'Summer']",367
female,62,685,"['Summer', 'Winter', 'Holidays']",368
female,74,2564,"['Fall', 'Holidays', 'Winter']",369
male,76,835,"['Summer', 'Spring', 'Winter']",370
female,69,184,"['Spring', 'Summer', 'Holidays']",371
female,58,2841,"['Fall', 'Winter', 'Summer']",372
female,21,1277,"['Spring', 'Summer', 'Fall']",373
male,48,345,"['Summer', 'Winter', 'Fall']",374
female,63,2011,"['Spring', 'Winter', 'Summer']",375
male,57,1482,"['Spring', 'Summer', 'Holidays']",376
female,18,1029,"['Holidays', 'Winter', 'Spring']",377
female,80,3132,"['Summer', 'Winter', 'Fall']",378
male,67,2820,"['Spring', 'Fall', 'Winter']",379
female,44,1477,"['Winter', 'Summer', 'Spring']",380
male,51,2744,"['Summer', 'Fall', 'Holidays']",381
male,22,2976,"['Spring', 'Summer', 'Holidays']",382
female,69,3005,"['Spring', 'Winter', 'Fall']",383
male,71,3025,"['Spring', 'Winter', 'Fall']",384
male,33,1977,"['Holidays', 'Winter', 'Spring']",385
female,41,2071,"['Winter', 'Holidays', 'Spring']",386
female,72,211,"['Spring', 'Winter', 'Fall']",387
female,76,2684,"['Fall', 'Spring', 'Holidays']",388
female,56,333,"['Holidays', 'Fall', 'Spring']",389
female,62,2763,"['Summer', 'Spring', 'Fall']",390
male,27,1121,"['Summer', 'Holidays', 'Fall']",391
female,53,500,"['Holidays', 'Fall', 'Winter']",392
male,79,2330,"['Winter', 'Summer', 'Holidays']",393
male,45,1387,"['Holidays', 'Spring', 'Winter']",394
male,72,2968,"['Fall', 'Holidays', 'Spring']",395
male,68,2270,"['Winter', 'Spring', 'Holidays']",396
female,22,3045,"['Holidays', 'Spring', 'Fall']",397
male,41,3048,"['Fall', 'Spring', 'Winter']",398
female,21,367,"['Winter', 'Spring', 'Summer']",399
male,62,2209,"['Holidays', 'Fall', 'Spring']",400
male,23,3145,"['Spring', 'Holidays', 'Winter']",401
female,46,1953,"['Holidays', 'Spring', 'Winter']",402
female,66,1225,"['Winter', 'Spring', 'Fall']",403
female,39,942,"['Holidays', 'Fall', 'Winter']",404
male,50,2194,"['Holidays', 'Fall', 'Summer']",405
male,19,517,"['Winter', 'Spring', 'Holidays']",406
male,52,1058,"['Fall', 'Spring', 'Winter']",407
male,38,3360,"['Holidays', 'Fall', 'Spring']",408
female,80,3514,"['Summer', 'Holidays', 'Spring']",409
male,55,1987,"['Spring', 'Winter', 'Holidays']",410
male,69,2816,"['Fall', 'Holidays', 'Summer']",411
female,40,3372,"['Fall', 'Summer', 'Winter']",412
male,52,2066,"['Spring', 'Holidays', 'Winter']",413
male,58,2249,"['Fall', 'Holidays', 'Summer']",414
female,66,1184,"['Holidays', 'Winter', 'Spring']",415
male,25,619,"['Summer', 'Fall', 'Spring']",416
female,38,839,"['Fall', 'Spring', 'Summer']",417
male,32,772,"['Fall', 'Winter', 'Spring']",418
female,49,938,"['Summer', 'Spring', 'Fall']",419
male,80,2470,"['Summer', 'Holidays', 'Winter']",420
female,77,3307,"['Fall', 'Summer', 'Spring']",421
male,59,3176,"['Spring', 'Winter', 'Fall']",422
male,70,1803,"['Winter', 'Spring', 'Holidays']",423
male,74,1309,"['Spring', 'Fall', 'Winter']",424
female,26,2283,"['Holidays', 'Summer', 'Winter']",425
female,35,1759,"['Winter', 'Spring', 'Fall']",426
male,47,726,"['Summer', 'Winter', 'Spring']",427
female,33,1674,"['Holidays', 'Summer', 'Winter']",428
male,32,1924,"['Spring', 'Fall', 'Winter']",429
female,33,1167,"['Winter', 'Spring', 'Holidays']",430
male,45,844,"['Fall', 'Spring', 'Summer']",431
male,47,1811,"['Spring', 'Summer', 'Fall']",432
female,19,710,"['Summer', 'Holidays', 'Winter']",433
male,67,2024,"['Winter', 'Holidays', 'Summer']",434
male,65,2394,"['Winter', 'Summer', 'Holidays']",435
male,24,3524,"['Summer', 'Winter', 'Fall']",436
female,40,500,"['Fall', 'Holidays', 'Spring']",437
male,63,1810,"['Winter', 'Holidays', 'Spring']",438
male,70,2420,"['Holidays', 'Winter', 'Fall']",439
female,77,3515,"['Winter', 'Holidays', 'Spring']",440
male,40,686,"['Winter', 'Fall', 'Summer']",441
female,54,1417,"['Spring', 'Summer', 'Fall']",442
male,30,3413,"['Spring', 'Holidays', 'Fall']",443
male,31,3292,"['Summer', 'Spring', 'Holidays']",444
male,37,1839,"['Fall', 'Spring', 'Summer']",445
female,72,3383,"['Winter', 'Holidays', 'Summer']",446
male,68,3230,"['Spring', 'Summer', 'Fall']",447
female,75,215,"['Spring', 'Holidays', 'Fall']",448
male,74,2440,"['Summer', 'Fall', 'Spring']",449
female,38,2365,"['Fall', 'Summer', 'Winter']",450
male,47,1183,"['Fall', 'Winter', 'Holidays']",451
male,77,779,"['Holidays', 'Fall', 'Winter']",452
male,57,2653,"['Winter', 'Holidays', 'Spring']",453
male,70,3257,"['Summer', 'Fall', 'Holidays']",454
female,49,3440,"['Summer', 'Holidays', 'Spring']",455
female,62,2558,"['Holidays', 'Winter', 'Summer']",456
male,23,2129,"['Spring', 'Fall', 'Winter']",457
female,63,2370,"['Summer', 'Fall', 'Winter']",458
male,71,420,"['Winter', 'Summer', 'Fall']",459
female,36,2671,"['Fall', 'Summer', 'Spring']",460
female,32,3539,"['Winter', 'Fall', 'Summer']",461
female,19,1631,"['Spring', 'Winter', 'Summer']",462
male,30,3169,"['Summer', 'Holidays', 'Spring']",463
male,37,1836,"['Summer', 'Fall', 'Winter']",464
female,54,2445,"['Holidays', 'Spring', 'Winter']",465
female,46,1721,"['Fall', 'Summer', 'Winter']",466
female,79,1156,"['Spring', 'Winter', 'Fall']",467
female,61,444,"['Winter', 'Summer', 'Fall']",468
female,71,2378,"['Spring', 'Holidays', 'Winter']",469
female,74,3519,"['Summer', 'Winter', 'Holidays']",470
male,73,1460,"['Spring', 'Summer', 'Winter']",471
male,37,2306,"['Holidays', 'Summer', 'Fall']",472
female,65,1100,"['Spring', 'Winter', 'Summer']",473
female,79,1966,"['Summer', 'Spring', 'Winter']",474
male,37,1734,"['Summer', 'Fall', 'Winter']",475
female,61,3465,"['Fall', 'Winter', 'Holidays']",476
male,47,1648,"['Fall', 'Holidays', 'Winter']",477
male,40,684,"['Fall', 'Holidays', 'Spring']",478
male,67,3378,"['Fall', 'Winter', 'Summer']",479
male,60,2883,"['Fall', 'Spring', 'Holidays']",480
female,65,2096,"['Holidays', 'Winter', 'Spring']",481
male,60,1783,"['Winter', 'Holidays', 'Spring']",482
female,64,3084,"['Spring', 'Winter', 'Holidays']",483
male,75,287,"['Fall', 'Winter', 'Spring']",484
female,49,3073,"['Spring', 'Holidays', 'Summer']",485
female,35,1349,"['Fall', 'Winter', 'Summer']",486
female,29,1785,"['Winter', 'Spring', 'Fall']",487
female,33,490,"['Holidays', 'Fall', 'Spring']",488
male,23,3306,"['Spring', 'Holidays', 'Summer']",489
female,28,3181,"['Winter', 'Fall', 'Holidays']",490
