Section	Temperature Measurements	Expected Robots	Actual Robots	Goal Fulfilment Times
B	[25.24, 15.3, 27.01, 20.62, 11.65, 19.86, 12.19, 14.39, 13.37, 21.62]	2.0	1.0	68
A	[24.41, 25.25, 11.63, 16.17, 17.77, 28.18, 18.61, 22.35, 19.45, 16.53]	1.0	1.0	82
B	[17.7, 20.75, 25.54, 17.71, 26.49, 17.75, 27.28, 16.52, 27.24, 26.38]	1.0	1.0	91
A	[13.62, 13.71, 25.21, 10.89, 24.91, 18.89, 10.27, 29.88, 15.75, 10.72]	4.0	3.0	136
B	[20.23, 11.06, 20.15, 15.92, 22.18, 22.86, 24.36, 12.03, 10.34, 26.5]	4.0	0.0	0
D	[10.9, 23.59, 27.87, 22.09, 20.94, 14.66, 12.68, 16.05, 17.98, 26.8]	4.0	3.0	173
A	[29.72, 21.77, 29.51, 27.8, 19.66, 23.98, 20.22, 19.43, 18.3, 16.12]	2.0	2.0	174
C	[11.03, 10.34, 24.25, 29.1, 21.42, 17.4, 29.72, 10.98, 16.76, 11.54]	1.0	1.0	265
A	[22.36, 15.52, 17.27, 16.95, 19.83, 23.2, 14.38, 13.09, 23.27, 10.76]	4.0	3.0	250
A	[29.93, 11.34, 10.56, 16.65, 18.17, 17.54, 15.09, 12.25, 12.67, 19.8]	3.0	0.0	0
D	[16.2, 20.95, 13.42, 27.3, 26.99, 29.1, 22.07, 18.92, 12.39, 11.32]	2.0	1.0	67
C	[12.34, 29.11, 16.43, 24.87, 28.21, 10.97, 18.14, 20.4, 10.46, 17.86]	2.0	2.0	219
C	[21.33, 11.17, 21.39, 12.89, 25.7, 29.37, 16.3, 13.94, 12.18, 22.73]	4.0	4.0	124
C	[14.9, 29.82, 16.73, 27.73, 13.15, 28.49, 14.25, 27.03, 28.67, 17.37]	4.0	1.0	68
A	[15.03, 15.07, 14.86, 18.72, 25.92, 22.06, 30.3, 14.07, 15.0, 26.51]	2.0	0.0	0
A	[28.41, 11.4, 17.04, 14.39, 15.54, 29.44, 19.81, 15.67, 25.71, 18.14]	1.0	1.0	83
D	[12.98, 16.16, 24.6, 27.91, 29.84, 14.2, 19.22, 17.25, 29.72, 17.13]	2.0	0.0	0
D	[23.12, 18.78, 23.88, 18.48, 29.54, 14.88, 18.09, 28.75, 22.7, 17.82]	1.0	0.0	0
C	[19.43, 22.98, 16.07, 15.99, 12.99, 15.44, 22.34, 25.56, 24.61, 13.73]	3.0	3.0	255
D	[22.24, 14.55, 28.69, 11.78, 22.45, 10.97, 15.67, 27.39, 23.19, 15.2]	3.0	3.0	127
C	[13.48, 29.36, 28.17, 10.38, 18.58, 22.0, 26.25, 24.79, 21.19, 10.28]	2.0	2.0	180
A	[21.14, 11.78, 14.46, 29.81, 25.75, 15.82, 16.95, 29.11, 20.4, 21.11]	4.0	4.0	186
C	[11.25, 17.17, 21.65, 26.71, 20.53, 13.92, 13.07, 11.51, 23.41, 24.96]	3.0	2.0	144
C	[26.66, 17.86, 17.51, 18.12, 10.44, 14.55, 20.4, 13.02, 11.07, 17.46]	1.0	0.0	0
A	[10.37, 17.91, 17.7, 23.68, 12.06, 16.2, 17.97, 14.7, 19.62, 30.2]	4.0	4.0	185
A	[16.8, 17.01, 26.92, 14.89, 16.01, 24.58, 12.85, 22.66, 27.24, 18.72]	2.0	1.0	209
B	[15.93, 10.56, 13.14, 29.28, 20.18, 13.14, 13.83, 26.01, 15.85, 21.14]	4.0	3.0	180
A	[24.13, 14.71, 28.42, 13.34, 12.71, 23.66, 25.36, 17.67, 18.5, 19.26]	2.0	1.0	270
B	[19.21, 22.16, 27.23, 26.35, 23.73, 28.18, 17.55, 25.59, 12.8, 20.54]	2.0	2.0	214
D	[22.7, 25.34, 18.36, 19.23, 17.01, 27.53, 21.87, 23.9, 21.22, 11.08]	3.0	3.0	181
D	[29.42, 25.96, 25.21, 15.26, 26.71, 20.31, 22.6, 12.27, 26.43, 26.85]	1.0	1.0	275
C	[10.75, 15.75, 17.99, 29.94, 26.72, 12.02, 12.72, 14.64, 15.03, 24.99]	4.0	0.0	0
A	[30.07, 26.81, 23.17, 28.97, 24.23, 24.58, 20.05, 14.73, 24.17, 21.42]	2.0	2.0	217
D	[13.51, 18.55, 29.99, 12.07, 20.89, 28.55, 25.2, 22.21, 19.15, 29.72]	3.0	1.0	196
A	[23.39, 18.66, 12.98, 15.25, 25.72, 20.3, 13.95, 18.44, 18.69, 11.43]	1.0	1.0	152
D	[16.03, 13.28, 16.24, 18.78, 21.13, 24.19, 14.62, 21.32, 28.94, 15.99]	2.0	1.0	197
C	[30.29, 26.67, 27.38, 21.54, 10.27, 16.77, 24.9, 10.33, 29.74, 18.6]	3.0	3.0	148
A	[15.77, 15.62, 27.67, 12.62, 16.16, 10.27, 20.9, 12.46, 27.08, 29.21]	2.0	1.0	267
B	[27.16, 22.52, 13.63, 27.14, 17.72, 23.13, 11.06, 26.35, 14.17, 10.49]	4.0	4.0	218
C	[27.57, 27.25, 17.12, 22.81, 17.01, 11.15, 11.84, 23.1, 25.43, 22.0]	3.0	3.0	227
A	[17.96, 23.2, 17.97, 23.93, 23.54, 11.64, 30.18, 11.47, 15.97, 30.13]	4.0	0.0	0
A	[24.95, 28.14, 26.56, 27.26, 20.26, 10.74, 17.26, 15.57, 20.08, 12.52]	4.0	3.0	156
D	[25.13, 19.39, 23.47, 26.66, 12.05, 11.26, 18.39, 29.96, 22.26, 19.98]	3.0	3.0	165
B	[22.31, 29.27, 15.4, 19.69, 13.7, 12.64, 14.77, 27.54, 12.81, 18.43]	3.0	1.0	94
D	[10.2, 22.41, 15.15, 26.99, 27.51, 21.37, 28.34, 14.27, 27.91, 15.59]	4.0	1.0	165
D	[23.69, 28.27, 17.48, 24.17, 17.32, 15.03, 26.96, 19.86, 15.68, 22.85]	2.0	2.0	154
C	[13.94, 22.23, 10.59, 23.75, 17.4, 27.7, 10.99, 28.42, 15.29, 23.68]	3.0	1.0	272
B	[28.01, 27.52, 10.79, 25.08, 14.44, 28.92, 13.28, 23.31, 24.55, 26.64]	3.0	2.0	169
C	[27.84, 25.02, 18.72, 23.25, 14.01, 19.3, 18.2, 12.75, 11.41, 23.22]	2.0	1.0	269
D	[12.3, 14.63, 24.7, 17.69, 25.91, 12.12, 29.32, 17.16, 15.43, 18.71]	1.0	0.0	0
B	[14.62, 11.76, 29.86, 23.05, 17.56, 18.55, 17.54, 30.13, 21.91, 27.41]	1.0	1.0	267
B	[23.88, 28.8, 11.68, 24.38, 16.88, 23.61, 29.35, 28.85, 29.32, 27.42]	3.0	0.0	0
A	[29.99, 11.47, 21.1, 14.74, 16.45, 21.18, 19.59, 29.57, 24.56, 17.52]	1.0	1.0	185
A	[12.87, 15.65, 20.99, 14.2, 15.47, 24.81, 27.39, 13.42, 25.9, 16.0]	4.0	3.0	172
C	[20.75, 11.78, 17.59, 17.63, 18.79, 11.88, 12.92, 20.69, 10.31, 20.37]	3.0	1.0	65
C	[21.28, 17.1, 18.14, 11.47, 22.48, 29.29, 11.64, 10.64, 26.47, 13.81]	3.0	1.0	156
B	[28.4, 18.83, 29.96, 15.88, 18.06, 12.12, 25.94, 29.8, 13.38, 20.38]	3.0	3.0	177
B	[19.74, 11.27, 22.2, 13.21, 15.15, 20.11, 17.01, 12.78, 20.88, 25.2]	2.0	2.0	161
C	[13.42, 18.1, 21.47, 27.61, 12.35, 11.34, 26.11, 25.32, 16.43, 12.95]	3.0	2.0	279
C	[11.1, 27.59, 19.31, 13.64, 12.47, 12.81, 21.7, 11.17, 19.81, 10.84]	4.0	1.0	159
D	[16.07, 22.97, 24.47, 22.04, 22.1, 13.45, 20.38, 26.01, 24.51, 21.58]	4.0	0.0	0
B	[27.02, 15.94, 21.09, 11.77, 16.71, 15.28, 24.49, 25.58, 29.9, 14.12]	4.0	4.0	145
D	[19.72, 25.61, 27.26, 12.58, 30.17, 10.75, 15.04, 23.36, 10.66, 22.18]	2.0	0.0	0
A	[16.17, 22.94, 25.59, 19.63, 23.26, 10.32, 21.57, 11.16, 12.65, 20.4]	2.0	0.0	0
D	[23.15, 22.62, 18.67, 12.89, 22.62, 12.95, 26.38, 10.54, 21.49, 17.51]	3.0	1.0	148
A	[19.63, 17.68, 25.03, 26.6, 10.43, 26.32, 26.47, 24.4, 27.95, 14.55]	1.0	1.0	199
D	[27.19, 19.27, 27.0, 23.82, 30.07, 13.64, 19.75, 12.27, 17.17, 11.59]	4.0	1.0	143
C	[16.55, 27.46, 10.51, 19.89, 24.94, 13.51, 29.19, 21.92, 23.57, 16.42]	1.0	1.0	259
D	[27.74, 10.39, 10.47, 26.05, 18.5, 29.0, 23.22, 28.51, 20.69, 28.1]	3.0	3.0	142
A	[26.71, 26.74, 17.3, 23.9, 17.22, 10.82, 17.56, 10.9, 27.35, 25.04]	1.0	1.0	156
A	[20.37, 20.78, 14.42, 13.49, 24.49, 14.11, 17.81, 14.81, 14.73, 26.95]	2.0	1.0	155
C	[29.18, 12.15, 29.72, 13.04, 21.33, 18.71, 19.99, 11.14, 20.0, 14.13]	2.0	1.0	294
C	[10.4, 21.79, 28.49, 24.08, 16.96, 17.2, 16.17, 18.53, 10.45, 12.91]	4.0	1.0	63
D	[18.34, 26.21, 27.91, 17.45, 14.98, 13.94, 25.72, 27.73, 22.14, 15.02]	1.0	1.0	80
D	[11.18, 22.28, 30.05, 16.06, 12.54, 25.87, 14.51, 16.08, 17.0, 12.64]	1.0	0.0	0
D	[14.36, 22.16, 17.77, 26.88, 20.64, 28.2, 18.2, 22.92, 12.69, 14.78]	1.0	0.0	0
C	[18.15, 30.11, 11.56, 29.85, 10.37, 25.24, 18.87, 17.9, 22.82, 27.46]	2.0	2.0	144
D	[21.41, 16.79, 29.58, 14.03, 12.3, 30.0, 11.07, 25.23, 20.42, 19.53]	3.0	1.0	226
B	[14.57, 23.18, 26.06, 19.47, 12.18, 21.81, 28.19, 22.62, 25.81, 11.04]	3.0	3.0	126
B	[15.52, 13.6, 27.22, 16.25, 15.84, 19.35, 25.9, 21.75, 21.75, 25.57]	1.0	0.0	0
C	[16.15, 25.14, 24.87, 15.0, 24.42, 21.13, 13.16, 13.38, 20.86, 11.87]	1.0	1.0	225
B	[17.84, 17.69, 15.26, 23.55, 26.23, 15.35, 14.95, 10.91, 20.8, 22.33]	2.0	1.0	139
D	[10.3, 19.9, 15.94, 14.22, 20.82, 30.14, 22.02, 22.6, 24.24, 19.29]	3.0	1.0	231
B	[21.09, 13.36, 21.17, 19.75, 19.13, 27.66, 29.98, 20.89, 19.68, 21.96]	4.0	0.0	0
B	[22.62, 25.57, 27.05, 15.68, 28.56, 23.74, 27.37, 23.7, 12.31, 24.42]	2.0	2.0	229
C	[30.05, 15.23, 20.45, 19.97, 17.62, 13.33, 18.86, 28.1, 21.45, 17.46]	3.0	0.0	0
D	[11.36, 18.1, 27.95, 17.12, 19.75, 13.64, 22.62, 28.83, 19.28, 19.8]	1.0	0.0	0
B	[21.36, 13.71, 22.98, 13.01, 15.74, 19.25, 20.51, 23.09, 18.25, 13.5]	4.0	3.0	204
A	[11.17, 20.01, 26.4, 27.04, 11.48, 17.1, 12.24, 24.44, 26.73, 20.0]	3.0	3.0	149
D	[27.34, 13.38, 28.24, 17.4, 16.18, 12.69, 23.52, 15.36, 26.45, 19.41]	1.0	0.0	0
B	[20.89, 20.29, 21.4, 19.95, 15.19, 15.9, 11.0, 22.92, 23.04, 16.84]	4.0	2.0	191
C	[20.53, 20.16, 23.01, 12.19, 29.07, 18.36, 27.53, 16.89, 23.7, 14.37]	3.0	2.0	209
C	[23.77, 12.36, 23.96, 23.66, 10.91, 17.14, 16.07, 15.96, 19.02, 30.08]	2.0	0.0	0
D	[18.26, 26.58, 14.84, 19.71, 30.17, 11.85, 25.33, 25.07, 30.0, 28.1]	3.0	3.0	222
B	[10.46, 27.45, 21.22, 20.63, 11.02, 16.97, 17.17, 20.37, 18.81, 21.99]	1.0	0.0	0
D	[13.95, 13.66, 27.2, 20.62, 24.45, 23.36, 26.13, 24.94, 14.86, 15.6]	1.0	1.0	69
A	[26.81, 29.65, 13.64, 21.18, 25.22, 19.19, 30.21, 13.54, 14.29, 16.37]	3.0	2.0	240
C	[15.64, 15.81, 17.01, 17.46, 29.15, 29.57, 14.72, 23.25, 14.19, 20.19]	4.0	2.0	206
A	[12.06, 22.69, 14.77, 14.48, 16.56, 28.59, 25.13, 28.07, 19.24, 10.76]	1.0	0.0	0
B	[17.9, 11.17, 23.91, 15.7, 15.17, 24.72, 15.56, 15.11, 28.13, 10.57]	3.0	0.0	0
D	[25.07, 19.25, 16.01, 11.9, 28.19, 26.59, 17.85, 19.77, 18.47, 29.98]	3.0	2.0	139
B	[19.46, 24.84, 18.29, 16.64, 28.03, 13.44, 15.08, 23.21, 23.45, 22.42]	2.0	1.0	181
B	[17.14, 12.43, 25.37, 25.43, 23.94, 27.32, 21.86, 12.72, 29.07, 15.33]	2.0	0.0	0
B	[17.18, 18.61, 29.73, 10.55, 28.19, 27.24, 22.78, 15.28, 20.61, 28.97]	2.0	0.0	0
D	[16.92, 22.1, 28.94, 19.06, 21.85, 24.77, 14.8, 21.47, 22.68, 14.03]	1.0	0.0	0
B	[21.44, 18.0, 19.75, 29.3, 10.77, 21.35, 24.26, 16.67, 16.7, 28.64]	3.0	0.0	0
B	[12.38, 18.17, 17.51, 17.96, 28.01, 22.55, 17.57, 12.15, 27.13, 15.57]	4.0	0.0	0
D	[18.83, 25.41, 21.84, 16.9, 15.09, 22.81, 26.5, 29.09, 29.16, 25.28]	3.0	2.0	191
C	[20.1, 20.95, 10.86, 27.75, 14.77, 14.19, 20.62, 27.28, 16.53, 12.87]	4.0	0.0	0
C	[20.07, 14.51, 11.13, 21.72, 26.15, 25.98, 28.38, 22.55, 18.77, 27.33]	3.0	2.0	156
A	[26.42, 23.8, 21.68, 15.51, 18.65, 12.93, 25.68, 17.85, 17.07, 28.69]	4.0	4.0	189
C	[13.09, 19.47, 10.97, 14.56, 24.15, 24.5, 11.38, 14.29, 20.25, 21.67]	3.0	2.0	274
C	[17.6, 19.71, 15.32, 28.11, 12.98, 27.42, 15.83, 17.44, 10.74, 15.22]	3.0	0.0	0
A	[21.11, 28.62, 28.64, 11.74, 20.49, 23.29, 30.0, 29.69, 22.3, 10.55]	2.0	0.0	0
B	[20.03, 14.47, 19.04, 19.53, 22.13, 25.2, 17.82, 16.84, 28.76, 29.14]	1.0	1.0	269
B	[14.26, 19.45, 27.96, 21.55, 17.61, 28.97, 15.04, 13.13, 13.58, 18.99]	1.0	1.0	76
D	[21.84, 28.39, 11.63, 15.81, 10.83, 24.27, 10.53, 11.81, 14.85, 18.59]	2.0	1.0	257
A	[24.87, 17.1, 29.38, 18.01, 12.98, 12.23, 19.68, 17.39, 21.62, 28.21]	2.0	0.0	0
A	[21.31, 26.42, 15.11, 12.35, 23.88, 26.84, 29.48, 14.1, 28.84, 20.93]	1.0	0.0	0
C	[11.03, 22.48, 27.98, 22.05, 23.95, 23.57, 25.05, 26.62, 29.11, 10.69]	1.0	0.0	0
B	[11.1, 12.21, 28.06, 28.82, 26.91, 12.55, 29.5, 12.67, 21.21, 10.94]	4.0	0.0	0
B	[10.99, 26.3, 23.17, 19.48, 18.27, 12.31, 17.46, 21.31, 26.96, 24.33]	4.0	1.0	67
A	[26.86, 11.36, 20.62, 16.14, 15.28, 17.18, 27.49, 30.09, 15.21, 15.2]	4.0	2.0	249
A	[25.87, 21.86, 14.68, 28.15, 18.82, 16.01, 27.43, 16.5, 18.23, 13.81]	2.0	2.0	237
A	[22.86, 20.36, 11.48, 10.73, 23.13, 21.48, 11.67, 29.64, 25.9, 28.12]	3.0	3.0	178
B	[28.77, 16.5, 27.93, 23.9, 15.41, 21.49, 20.7, 11.55, 27.39, 11.4]	3.0	3.0	113
D	[12.06, 27.7, 13.53, 27.98, 24.92, 29.78, 18.68, 27.89, 13.95, 18.77]	1.0	0.0	0
A	[15.53, 21.24, 18.67, 22.88, 16.38, 14.53, 14.94, 21.08, 23.49, 24.07]	3.0	1.0	267
B	[12.68, 22.94, 18.79, 24.46, 25.36, 25.56, 22.12, 20.22, 13.66, 19.96]	3.0	2.0	136
A	[30.1, 14.0, 19.38, 21.23, 19.68, 20.82, 19.76, 13.44, 24.98, 20.21]	2.0	1.0	61
D	[27.37, 30.06, 22.93, 29.81, 14.8, 14.03, 16.95, 20.2, 26.13, 18.51]	3.0	1.0	196
B	[19.16, 24.5, 13.1, 21.97, 29.03, 12.39, 18.2, 22.07, 20.06, 19.6]	1.0	0.0	0
C	[11.11, 22.76, 24.74, 20.79, 26.85, 25.52, 14.76, 29.47, 26.13, 14.71]	1.0	0.0	0
C	[25.58, 13.57, 28.47, 15.16, 27.33, 20.6, 23.75, 20.74, 14.09, 28.82]	2.0	2.0	141
D	[29.31, 21.93, 11.39, 16.95, 13.2, 22.31, 27.56, 14.5, 16.97, 29.99]	1.0	1.0	60
C	[25.72, 18.83, 14.09, 17.63, 22.23, 16.63, 12.07, 10.9, 10.65, 25.98]	4.0	0.0	0
D	[29.47, 21.42, 21.3, 17.49, 12.44, 13.62, 30.21, 29.92, 24.96, 26.51]	3.0	3.0	117
D	[26.22, 21.81, 28.0, 18.04, 19.37, 21.52, 10.58, 29.09, 23.8, 15.39]	2.0	2.0	194
A	[28.49, 20.09, 25.91, 10.45, 21.74, 26.81, 14.54, 23.11, 29.13, 28.3]	3.0	0.0	0
B	[14.31, 18.89, 24.4, 20.55, 19.82, 14.78, 20.79, 12.27, 16.19, 28.44]	3.0	1.0	83
D	[18.97, 15.27, 27.95, 17.13, 15.5, 25.73, 11.57, 21.16, 16.63, 22.28]	3.0	2.0	205
B	[16.04, 27.94, 23.79, 19.78, 18.17, 24.79, 17.75, 18.68, 22.9, 15.34]	2.0	0.0	0
B	[19.5, 27.35, 20.17, 26.08, 14.67, 26.61, 17.43, 26.99, 20.14, 14.89]	2.0	2.0	150
B	[16.75, 17.22, 22.47, 18.73, 16.61, 11.93, 17.65, 16.96, 29.23, 24.09]	3.0	1.0	130
B	[19.84, 10.31, 29.89, 20.9, 11.39, 10.64, 15.47, 10.88, 29.37, 30.27]	2.0	0.0	0
B	[19.98, 18.2, 24.1, 26.68, 11.12, 19.01, 20.56, 14.97, 24.24, 29.3]	2.0	0.0	0
D	[11.17, 14.29, 25.13, 14.22, 11.3, 17.96, 21.06, 21.24, 16.62, 21.56]	3.0	2.0	217
C	[28.6, 23.13, 27.47, 23.16, 23.03, 15.69, 24.04, 11.29, 11.66, 19.31]	1.0	0.0	0
B	[14.98, 19.23, 18.32, 14.37, 16.62, 29.39, 28.06, 26.75, 15.09, 19.57]	4.0	3.0	117
C	[14.75, 17.65, 15.2, 23.49, 24.34, 15.22, 28.36, 18.17, 19.37, 23.8]	4.0	1.0	298
A	[16.29, 24.69, 20.13, 18.32, 20.72, 19.06, 17.25, 20.96, 16.24, 24.6]	4.0	2.0	159
A	[23.56, 29.93, 16.96, 18.59, 27.78, 12.66, 23.88, 30.0, 12.81, 23.41]	1.0	1.0	97
A	[18.8, 22.71, 11.87, 16.49, 17.18, 29.39, 11.16, 13.07, 20.63, 13.78]	4.0	1.0	295
D	[13.58, 12.77, 21.06, 11.77, 11.22, 11.67, 16.14, 17.1, 24.08, 16.22]	2.0	1.0	169
C	[10.33, 14.57, 24.37, 13.95, 16.67, 23.25, 11.99, 28.26, 11.69, 21.28]	2.0	1.0	185
B	[28.39, 13.75, 27.59, 23.91, 23.04, 21.84, 10.29, 12.7, 21.43, 24.39]	4.0	3.0	130
D	[21.32, 18.24, 22.55, 23.33, 27.23, 12.6, 21.1, 17.98, 17.99, 19.57]	2.0	0.0	0
B	[12.2, 28.93, 13.88, 21.39, 27.51, 14.07, 29.05, 28.12, 21.24, 11.28]	4.0	3.0	168
D	[10.98, 22.24, 26.75, 26.97, 15.67, 23.84, 10.5, 11.32, 12.89, 11.2]	4.0	0.0	0
A	[17.89, 24.52, 26.88, 21.97, 11.64, 24.79, 20.78, 21.97, 14.98, 28.6]	2.0	2.0	189
C	[29.48, 27.5, 14.85, 13.87, 21.12, 14.31, 29.75, 20.05, 19.61, 30.21]	1.0	0.0	0
A	[28.44, 13.78, 16.12, 22.17, 17.1, 22.92, 11.99, 28.01, 22.09, 12.05]	2.0	1.0	283
B	[29.65, 25.42, 27.07, 12.16, 22.18, 17.41, 17.44, 19.52, 12.41, 18.39]	2.0	1.0	99
D	[11.84, 12.86, 21.02, 29.82, 26.37, 29.67, 29.99, 26.86, 27.5, 18.21]	3.0	2.0	191
B	[24.02, 20.69, 29.4, 27.01, 28.83, 13.9, 11.3, 15.74, 18.23, 12.26]	2.0	2.0	230
A	[16.89, 27.34, 18.92, 18.85, 28.79, 13.87, 11.87, 24.39, 17.44, 28.83]	3.0	3.0	178
D	[29.14, 13.03, 18.45, 15.46, 24.81, 29.99, 19.51, 28.13, 20.86, 15.67]	3.0	3.0	140
B	[17.74, 23.18, 30.3, 11.61, 21.85, 25.9, 22.04, 21.11, 20.34, 28.24]	1.0	0.0	0
C	[10.23, 25.68, 15.34, 13.91, 19.99, 11.71, 13.81, 27.28, 16.6, 11.8]	1.0	0.0	0
D	[24.34, 11.39, 21.39, 20.13, 24.44, 17.58, 27.88, 27.54, 26.65, 26.14]	1.0	1.0	174
D	[22.78, 14.2, 17.52, 20.88, 11.97, 17.83, 13.3, 15.61, 25.77, 25.68]	2.0	0.0	0
A	[28.55, 16.03, 13.08, 22.22, 28.72, 29.11, 13.65, 23.65, 14.16, 22.8]	1.0	1.0	174
D	[25.96, 29.5, 18.91, 13.98, 20.71, 13.88, 23.72, 27.14, 11.69, 29.96]	1.0	0.0	0
A	[27.86, 27.13, 17.57, 29.04, 14.84, 29.64, 19.45, 29.51, 10.95, 10.71]	1.0	0.0	0
